,text
36,"산업통상자원부(장관 윤상직)는 28일  ‘산업부 정부 3.0 보고회’를 개최하고, ‘산업부 정부 3.0 추진계획’을 발표했다.이날 발표한 산업통상자원부 정부 3.0 추진계획은 정부 3.0의 가치(개방, 공유, 소통, 협력)를 기반으로 기업이 사업하기 좋은 환경을 만들고 국민의 행복한 삶 실현을 목표로 하고 있다.우선 기업이 사업하기 좋은 환경을 만들기 위해 신사업기회 창출의 기반을 조성하고 기업성장지원을 위한 원스탑 서비스를 구축해나갈 계획이다. 인체치수‧색채표준‧KS 등 표준관련 정보은행을 구축하고 DB개방하는 한편 정부R&D 성과물의 종합정보를 개방하기로 했다. 또, 기업성장지원을 위한 원스탑 서비스를 구축키로 했다. 이를 위해 각 부처별로 산재된 표준‧인증정보를 통합관리하고 통관‧보험‧물류정보 등 모든 무역정보를 통합해 원스탑 서비스를 제공한다는 계획이다. 이밖에 제품‧에너지 안심 서비스 제공을 위해 국민의 손쉬운 제품안전 확인을 위해 온라인 쇼핑몰과 연계해 제품인증정보 서비스를 제공하고  취약계층에 대한 노후‧불량 가스‧전기시설 교체 및 안전장치 설치를 지원키로 했다.또  층간소음, 가전제품 소음평가 등 국민 삶의 질 향상을 위한 표준화 추진 및 석유가격정보, 전력사용정보 서비스를 강화해 에너지 절약과 국민 생활비 절감에 나설 계획이다. 김재홍 산업부 차관은 “정부 3.0은 투명하게 개방하고, 국민과 소통하고, 조직간 협력하여 국민 중심으로 전환하는 새로운 정부운영 패러다임”이라며 “조속히 정부 3.0의 롤모델이 될 수 있는 우수한 성과를 창출해 변화의 흐름을 가속하고 방향을 이끌 수 있도록 함께 노력해 나갈 것”이라고 밝혔다.2401@ddaily.co.kr"
37,"안전행정부가 추진 중인 재난안전통신망 구축사업에 대한 예비타당성 조사가 늦어지고 있는 가운데 사업에 대한 전면 재검토가 이뤄질지에 관심이 모아지고 있다. 현재 재난망 사업은 테트라(TETRA)와 와이브로(WiBro) 두가지 통신기술과 사업성 등을 놓고 예비타당성조사가 진행 중이다. 테트라는 현재 소방방재청, 경찰청 등에 도입돼 사용되고 있다. 아직까지는 통합 재난망 사업에 채택 가능성이 가장 높은 기술이다. 하지만 무선데이터, 구축비용, 특정기업 기술 독점 등의 문제점을 지니고 있다. 때문에 보완망이 필요하다는 지적들이 제기됐고 아이덴(iDEN), 롱텀에볼루션(LTE) 등과 경합 끝에 와이브로가 보완재로 타당한 것으로 평가받았다. 하지만 테트라+와이브로 방식이 적합한 것으로 평가된 것은 지금으로부터 2년전이다. LTE가 지금처럼 활성화되기 전이고 반대로 와이브로는 여전히 국가적인 차원에서 진흥정책을 펴던 시점이다. 하지만 이달 초 미래창조과학부가 LTE-TDD 도입을 허용, 사실상 와이브로 진흥정책을 포기함에 따라 재난망 사업에도 영향을 미치게 됐다.  국내는 물론, 전 세계적으로 와이브로 시장이 계속해서 축소되고 있고 주요 통신장비 업체들도 관련 사업을 포기하고 있다. 와이브로 태동에 큰 힘을 보탰던 삼성전자조차도 와이브로 사업을 포기한 상태다. 기존 와이브로 사업자인 KT도 LTE-TDD 전환을 요구하고 있다. 이러한 상황에서 새로운 와이브로 전국망을 구축하는 것 자체가 시대흐름에는 크게 어긋나는 것으로 볼 수 있다. 반면, LTE는 확실한 시장의 대세로 자리매김했다. 이동통신 3사가 경쟁적으로 기술진화를 이끌고 있다. 철도통신망 등 특수망도 LTE로의 진화를 모색하고 있다. 재난망 사업에 주파수를 제공해야 할 미래부 역시 재난망 사업에 와이브로 기술은 바람직하지 않은 것으로 보고 있다. 안행부 요구처럼 700MHz 주파수를 제공하는 것 자체도 쉽지 않은데다 규모의 경제 형성에 실패한 와이브로보다는 LTE에 대한 논의가 필요한 것으로 보고 있다. 이기종망 연동에 대한 요구와 관심은 우리나라를 비롯해 주요 국가에서 높아지고 있다. 또한 미국, 캐나다, 이스라엘 등 중복투자방지, 구축비용 절감 차원에서 전용망이이 아닌 공중망을 활용하는 국가들도 있다. 미국은 LTE를 재난망 기술방식으로 선정하기도 했다. 재난망에 와이브로 기술이 적합하지 않다는 분위기는 점점 커지고 있다. 하지만 와이브로를 배제하고 테트라 단일 기술로 사업을 진행할 경우 다시 문제가 지적됐던 과거로 회귀하는 셈이다. 때문에 기술방식의 변화, 또는 이미 구축된 통신망을 적극 활용해야 한다는 목소리는 점점 높아질 것으로 예상된다. 하지만 사업논의가 시작된지 10년이 지난 상황에서 또 다시 재검토를 추진하는 것 역시 사업 추진 부처인 안전행정부 입장에서는 부담스러울 수 밖에 없다. 일단은 한국개발연구원(KDI)의 예비타당성 조사를 기다려야 하는 상황이다. 내년 재난망 예산이 한 푼도 반영되지 않은 상황인 데다 와이브로 등 통신기술 환경의 변화 및 사업비 등에 대한 지적이 끊이질 않는다는 점에서 전면 재검토 가능성도 배제할 수 없을 전망이다. woong@ddaily.co.kr"
38,"LG전자가 미국 뉴욕과 영국 런던에서 ‘2030 부산세계박람회’ 유치를 위해 힘을 보탠다., LG전자는 현지시간 18일부터 미국 뉴욕 타임스스퀘어와 영국 런던 피카딜리광장에서 운영하고 있는 회사 전광판에 ‘2030 부산세계박람회’ 유치를 위한 홍보영상을 내달 말까지 상영한다고 21일 밝혔다. , 이 영상에는 부산시 해운대와 한국의 전통 회화재료인 수묵을 모티브로 한 이상원 미디어아트 작가의 작품 ‘더 파노라믹(The Panoramic)-해운대’를 담았다., 영상은 화선지의 중앙을 가로질러 수묵의 먹선이 그려지는 모습으로 시작된다. , 이어 화선지의 결을 따라 위아래로 번지는 수묵의 먹선이 해운대의 수평선으로 변하고 해운대의 파도와 해변, 이곳을 즐기는 사람들의 모습으로 연결된다. 마지막에는 ‘The wave from BUSAN, KOREA’라는 문구가 소개되며 영상은 끝이 난다., 해당 영상은 최근 ‘2020 두바이세계박람회’가 열리고 있는 두바이몰(Dubai Mall)에 설치된 초대형 올레드 스크린에서도 송출된 바 있다. 이 스크린은 55형 LG 올레드 사이니지 820장으로 구축된 세계 최대 올레드 스크린이다., LG전자와 부산시는 세계 유수의 국제도시인 미국 뉴욕과 영국 런던 한복판에서 부산의 아름다운 이미지와 ‘2030 부산세계박람회’ 유치에 대한 의지를 널리 알릴 수 있을 것으로 기대한다., 한편 LG전자는 ‘2030 부산세계박람회’ 유치를 위해 지난해 말 부산시 청사 내에 안내로봇인 ‘LG 클로이 가이드봇(LG CLOi CuidBot)’을 지원하며 부산 시민들을 대상으로 한 홍보에 힘을 보탠 바 있다. , 아울러 현재 개최 중인 ‘2020 두바이세계박람회’의 한국관에 올인원(All-in-one) 솔루션을 제공하는 다목적 스크린 ‘LG 원퀵(LG One:Quick)’을 지원하는 등 다양한 활동을 펼쳤다.,"
39,"사진=크래프톤 크래프톤은 모바일 배틀로얄 ‘뉴스테이트 모바일’의 아마추어 대회 ‘뉴스테이트 모바일 오픈 챌린지’(이하 NMOC)’를 성황리에 종료했다고 21일 밝혔다., NMOC는 뉴스테이트 모바일의 최강자를 가리기 위해 진행된 첫 공식 대회로 국내 아마추어 이스포츠 대회를 통틀어 단일 대회 중 가장 큰 3억원의 상금 규모로 진행됐다., 총 98개 팀이 신청했으며, 지난 5일부터 19일까지 2주간의 대장정을 통해 216개의 매치를 진행했다. 그룹 스테이지 및 결승은 코로나19 방역 기준 준수 하에 광명 IVEX 스튜디오의 대규모 대회장에서 오프라인으로 진행해 선수들 간의 뜨거운 경쟁과 열기를 직접 느낄 수 있도록 했다., 대회 1위의 영예와 한국 최강자라는 타이틀, 그리고 2억의 상금을 획득한 팀은 Another Level-(어나더 레벨-)팀이 차지했다. 87포인트로 우승을 차지한 Another Level-은 10대부터 20대 후반까지 다양한 나이대로 구성된 팀이다., Another Level-은 “열심히 연습하고 끝까지 최선을 다 해준 팀원들 덕에 좋은 결과를 낼 수 있었다. 믿고 응원해준 모든 분들께 감사드린다“며 “'우리가 하는 플레이가 1등 플레이'라고 마음속으로 되새기면서 평소 하던 대로 대회에 임해 우승할 수 있었던 것 같다”고 말했다.했다., 크래프톤은 이번 대회를 통해 뉴스테이트 모바일이 ‘하는 재미’는 물론 ‘보는 재미’까지 다양한 가능성을 확보한 것을 다시 한번 확인하고, 대상 지역을 확장해 달라는 글로벌 커뮤니티의 지속적인 요구에 부응하기 위해 이를 점차 확대해 나갈 계획이다.,"
40,"사진=넷마블 넷마블은 자사의 공식 캐릭터 매장 ‘넷마블스토어’에 모바일 게임 ‘제2의 나라’ IP(지식재산권)를 활용한 캐릭터 상품을 첫 출시했다고 21일 밝혔다., 이번에 선보인 상품은 제2의 나라에서 이용자들에게 많은 사랑을 받고 있는 캐릭터 ‘후냐’를 활용한 후냐 인형, 후냐 키링을 비롯해 직소퍼즐, 마우스 장패드, PVC 마우스패드, PVC 키링, 데코스티커 등 7종이다., 이 중 직소퍼즐과 마우스 장패드에는 게임 내 사용 가능한 에너지 드링크 5개 쿠폰과 장비소환 10회 쿠폰이 각각 포함돼 있다., 제2의 나라 캐릭터 상품은 넷마블 본사 지타워 3층 ‘ㅋㅋ다방’에 위치한 넷마블스토어 오프라인 매장 및 온라인몰에서 구매할 수 있다., 넷마블스토어에는 해당 상품 외에도 넷마블 대표 캐릭터 ㅋㅋ(크크), 토리, 밥, 레옹으로 구성된 ‘넷마블프렌즈’ 캐릭터 상품을 비롯해 ‘모두의마블’, ‘세븐나이츠’, ‘BTS월드’, ‘스톤에이지 월드’, ‘쿵야’ 등 넷마블 인기 게임 IP(지식재산권)를 활용한 다양한 상품을 만나볼 수 있다., 윤혜영 넷마블 IP 사업실 실장은 “‘제2의나라’를 좋아해주시는 많은 분들의 요청에 힘입어 이번 신상품을 출시하게 됐다. 앞으로도 이용자분들의 의견을 적극 청취해 트랜드에 부합하는 다양한 상품을 개발하고, IP라인업을 확대해 나가도록 하겠다”고 말했다.,"
41,"사진=카카오 김일두 카카오브레인 대표와 한재선 그라운드X 대표가 AI(인공지능)와 NFT(대체 불가능한 토큰)의 결합에 관한 미래 비전과 최신 정보를 공유하고 소통하는 자리를 마련한다., 카카오브레인은 오는 23일 밤 9시30분부터 소셜 오디오 플랫폼 '음mm'에서 라이브 토크쇼 ‘커티스의Unthinkable Question’을 진행한다고 밝혔다. ‘커티스’는 김 대표가 사용하는 사내 영어 이름으로, 김 대표는 지난 해 9월부터 음mm에서 월 1회 정기적으로 대중과 소통하며 AI 기술에 관한 정보를 나누고 있다., 오는 23일 토크쇼에서는 그라운드X 한재선 대표를 초대해 최근 블록체인 시장에서 화두로 떠오르고 있는 NFT에 관한 다채로운 이야기를 풀어나갈 예정이다., 지난 달 27일 카카오브레인은 그라운드X가 운영하는 한정판 디지털 작품 유통 서비스 ‘클롭 드립스’를 통해 2022년 임인년 새해를 맞아 NFT 호랑이 아트워크 99종을 ‘Drop’s Lounge’ 회원 대상으로 무료 배포했다., 99종의 아트워크는 카카오브레인의 초거대 AI 모델 ‘minDALL-E(민달리)’가 그린 작품이다. 카카오브레인은 NFT 작가들로부터 ‘Black tiger to the moon’과 같은 호랑이 관련 메시지를 사전 취합하고 ‘민달리’에 입력해 이미지를 생성시켰다., 민달리는 이용자가 텍스트로 명령어를 입력하면 실시간으로 원하는 이미지를 만들어주는 이미지 생성 모델이다. 1400만장의 텍스트와 이미지 세트를 사전 학습하고 13억개의 파라미터(매개변수, 학습 데이터 저장소)를 가지고 있다., 질문을 던졌을 때, AI가 맥락을 이해하고 이용자가 원하는 결과값을 바로 이미지로 도출한다. 검색을 통해 결과값을 찾아내는 것이 아니라 AI 스스로 명령을 이해하고 직접 이미지를 생성하는 것이다., 양사 대표는 최근 카카오브레인의 민달리 NFT 발행을 포함해 예술, 게임 등 다양한 분야에서 활용되고 있는 NFT 사례들을 공유한다. 토크는 약 1시간 반 동안 진행 예정이며 카카오톡 오픈 채팅으로 질의응답을 진행하는 등 참여자들과 실시간으로 자유롭게 소통할 예정이다., 김일두 카카오브레인 대표는 “NFT가 여러 분야에서 활용되고 있고 아티스트 작품의 가치를 올리는 동시에 새로운 형식의 예술이 생겨나고 있는 가운데, AI가 만들어내는 작업물과 디지털 자산이 결합해 새로운 혁신을 보여줄 수 있을 것” 이라며 “이번 토크쇼는 블록체인과 AI의 미래상을 함께 이야기하는 의미있는 시간이 될 것이다”고 전했다.,"
42,"사진=엔씨소프트 엔씨소프트(이하 엔씨(NC))가 지난 14일 개발 중인 신규 지식재산권(IP) 5종의 티징 영상을 공개해게임업계의 관심을 모으고 있다., 영상에는 ‘프로젝트E’·‘프로젝트R’·‘프로젝트M’·‘BSS’·‘TL’ 등의 게임이 등장했으며 장르도 다중접속역할수행게임(MMORPG), ‘인터랙티브 무비’, 액션 배틀 로열, 수집형 역행수행게임(RPG) 등으로 다양하다., 이번 티징 영상 공개는 ‘엔씨(NC)의 변화’를 알리는 첫번째 행보다. 기존 엔씨(NC)는 개발 막바지에 다다른 타이틀을 출시에 앞서 공개하는 방식으로 게임을 선보여왔다. 하지만 이번에는 미공개 신작 ‘프로젝트E·M·R’부터 블소S, 하반기 출시를 앞둔 TL까지 개발 과정과 게임 화면을 공개하며 이용자와의 소통을 강조했다., ◇ 미공개 프로젝트로 색다른 재미 선보인다, 프로젝트E 사진=엔씨소프트5종의 게임 중 이제껏 공개되지 않았던 미공개 프로젝트들이 포함됐다. 특히 프로젝트 E는 기존 엔씨(NC)에서 선보이지 않았던 비주얼을 보여줬으며 프로젝트M은 실사 비주얼을 토대로 제작된 인터랙티브 무비라는 새로운 도전을 의미한다., 프로젝트 E에서는 한국 고유의 이미지를 보여줬다. 탈을 쓰고 등장해 탈춤을 추는 인물이나 영상에서 보여준 배경은 조선 시대 왕궁을 떠올리게 한다. 갓과 한복을 입고 여정을 떠나는 장면에는 수호신으로 여겨지는 장승의 모습 등도 공개돼 최근 글로벌 시장에서 관심 받고 있는 한국적 이미지를 다수 포함하고 있다., 프로젝트M 사진=엔씨소프트엔씨(NC)의 기술력을 집약한 프로젝트M도 새로운 시도다. 인터랙티브 무비는 콘솔 시장에서 역사가 깊은 장르지만 국내에선 거의 시도된 적이 없다. 엔씨(NC)는 ‘비주얼 센터’(Visual Center) 산하에 모션캡쳐·3D 스캔·배경 스캔 등 스튜디오를 마련하는 등 국내 최고 수준의 비주얼 기술력을 보유하고 있다. 엔씨(NC) 이와 같은 기술력을 통해 몰입감 있는 게임을 선보일 예정이다., ◇ 이용자와 개발 단계부터 소통 하는 엔씨(NC), 프로젝트E 사진=엔씨소프트엔씨(NC)는 신규 IP 공개 티저를 시작으로 미공개 신작을 공개한 것에서 나아가 이용자와의 소통도 강화할 계획이다., 최문영 엔씨(NC) PDMO는 “3월부터 신규 IP 관련 다양한 동영상 콘텐츠를 공개할 계획”이라며 “개발 단계부터 고객들과 다양한 형태로 소통을 확대하고 유저들의 피드백을 개발에 반영해 나가겠다”고 말했다., 엔씨(NC)는 게임을 개발 단계부터 공개해 이용자들의 기대감을 높여 팬층을 미리 확보하고 해당 장르에 관심이 많은 이용자들의 의견을 수렴해 더 나은 방향으로 게임을 발전시킬 계획이다., 또 지난 18일 ‘리니지W’은 특별방송 ‘Director’s Talk’을 진행해 이용자와 소통에 나섰다. 특히 사전 녹화된 방송이 아니라 개발진이 직접 BJ(개인 방송 진행자)의 스튜디오에 방문했다. 이를 통해 신규 업데이트 정보를 공개하는 것에서 나아가 개발진이 이용자와 직접 소통하는 시간을 가졌다.,"
43,"사진=네이버 로고 ‘클로바 케어콜’(CLOVA CareCall)이 부산 해운대구에 이어 대구시에도 도입되어, 더 많은 독거 어르신의 돌봄을 지원한다., 네이버는 21일 대구광역시와 ‘클로바 케어콜을 활용한 AI 자동 안부 전화 서비스 시범 사업’ 추진을 위한 업무협약(MOU)을 체결했다., 네이버는 대구시와 함께 오는 3월부터 중·장년 취약 가구 100명을 대상으로 시범 서비스를 시작할 계획이다. 클로바 케어콜이 돌봄 대상자에게 주 1~2회 전화를 걸어 식사, 수면, 외출, 복약 등의 안부를 확인하고 통화가 되지 않거나 이상자로 분류되면 담당 공무원이 다시 확인하는 방식이다., 지속적으로 서비스를 개선하며 하반기에는 돌봄 대상자를 1000명 이상으로 늘리고, 올해 운영 결과를 바탕으로 2023년에는 대구시의 더 많은 독거 어르신들에게 서비스를 제공할 계획이다., 클로바 케어콜은 지난해 네이버가 출시한 AI콜 서비스로, 초대규모 AI ‘하이퍼클로바’ 기술을 적용해 정형화되지 않은 대화도 AI(인공지능)가 이해하고 자연스럽게 상호작용할 수 있다. 이를 통해 단순히 독거 어르신의 안부를 체크하는 것을 넘어, 친구처럼 자유롭게 대화하며 정서적인 케어까지 도울 수 있다는 것이 차별점이다., 또한 AI가 생성한 가상의 대화 시나리오를 사람이 직접 검수하는 과정을 거치고, 대화 중 사용자의 발화 데이터를 수집하지 않아 섬세하고 안전한 AI 대화가 가능하다., 실제 작년 11월부터 베타 서비스를 시작한 해운대구에서 시범 사업 대상자인 독거 어르신들을 대상으로 설문 조사를 시행한 결과, 향후 클로바 케어콜 계속 서비스를 이용하고 싶다고 답변한 어르신 사용자는 95%에 달했다, 네이버는 이와 같은 우수한 AI 기술력과 현장에서 축적해가고 있는 노하우를 바탕으로, 부산 해운대구, 대구시에 이어 전국의 여러 지방자치단체와 클로바 케어콜을 활용한 독거 어르신 복지 협력을 진행해나갈 계획이다., 정석근 네이버 클로바 CIC 대표는 “더욱 많은 독거 어르신들의 일상에 네이버의 첨단 AI 기술로 도움을 드릴 수 있게 되어 기쁘다”면서, “네이버는 앞으로도 사람을 위한 AI를 개발하는 것을 중요한 가치로 삼고, ‘모두를 위한 AI’를 실현해나갈 것”이라고 말했다., 권영진 대구시장은 “고독사는 더 이상 개인적인 문제가 아닌 우리 사회 전체가 함께 해결해야 할 숙제로 소외된 이웃을 관리하여 더 이상 외로이 홀로 죽음을 맞는 일이 없도록 하겠다”며 사회공헌활동에 적극 나서 준 네이버에도 감사의 마음을 전했다.,"
44,"사진=LG유플러스 LG유플러스는 국내 최고의 자율주행 솔루션 기업 에이스랩(ACELAB)과 함께 빅데이터와 AI(인공지능)를 기반으로 자율주행차량 이상 여부를 진단하는 차세대 기술을 개발한다고 21일 밝혔다., 이번에 개발하는 차세대 기술은 클라우드에서 자율주행 차량의 소프트웨어와 하드웨어 이상 여부를 빅데이터와 AI로 판단해 자율주행 모빌리티 서비스 운영자에게 알려주는 시스템이다. 이 기술이 상용화 단계에 이르면 이상이 진단된 고장 자율차량을 긴급 회수하는 것은 물론, 위험 지역에서의 무인주행 서비스도 가능해질 전망이다., 양사는 오는 3분기까지 자율주행차 이상 진단기술 개발을 완료하고, 실증사업에 반영할 예정이다. 이를 통해 지금보다 훨씬 안전한 자율주행을 구현하고 차별화된 자율주행 서비스를 제공하는 방향으로 협력을 확대할 계획이다., LG유플러스와 에이스랩은 2019년 3월 세계 최초 5G 통신망을 이용한 자율차의 도심 주행 성공, 2020년 12월 5G 통신을 통한 자율차의 최초 자동주차 등 자율주행 기술개발 역량을 선보였다., 특히 LG유플러스는 자율주행 차량이 라이다·레이더·카메라 등의 센서에서 실시간으로 전송하는 각종 데이터를 빠르고 안정적으로 처리하는 기술을 개발해왔다. 지난해 6월 서 울시 스마트모빌리티 엑스포에서 자율주행 대용량 데이터를 실시간 변환·압축한 뒤 3.5㎓ 주파수 대역의 5G망을 통해 클라우드로 전송하는 기술 및 이를 활용한 실증 사례를 공개했다., 에이스랩은 자율주행 차량에 LG유플러스의 빅데이터 기술을 접목해 실시간 원격 디버깅, 자율주행 데이터 분류와 검색 등 최고 수준의 자율주행 소프트웨어를 개발하고 있다., 최창국 LG유플러스 차세대기술Lab장(상무)은 “핵심사업인 스마트모빌리티 사업의 추진력을 얻기 위해 자율주행 관련기술 개발에 박차를 가하겠다”며 “올해는 지방자치단체가 주관하는 자율주행 실증 사업에 적극 참여할 예정”이라고 말했다.,"
45,"티맥스구름 구동 화면. 사진=티맥스 제공 티맥스오에스는 21일 구름 3.0 모듈과 티맥스 기술을 새롭게 적용해 기능을 업데이트한 'Tmax구름'을 공개하고, 공공과 금융 비즈니스 활성화에 박차를 가할 계획이라고 밝혔다., 티맥스구름은 국가보안기술연구소의 '구름 플랫폼'을 기반으로 한 개방형 OS다. 앞서 지난해 6월 구름 2.0 을 적용한 티맥스구름을 개발한 바 있다., 이번 업데이트의 주요 사항으로는 구름3.0 모듈을 기반으로 한 호환성·보안성 확대, 티맥스오에스 기술을 통한 사용자 편의성 향상이 있다., 먼저 데비안11을 기반으로 호환성을 확대했다. 데비안10 기반이었던 기존 구름 플랫폼이 최신 CPU나 디바이스 지원에 제한적이었다는 단점을 개선했다., 또한 외부 드라이버 설치 없이도 인쇄 및 스캔이 가능해졌다. exFAT 파일 시스템을 지원해 윈도우OS, 맥OS 등 타 OS에서 포맷된 외부 드라이브를 티맥스구름에 연결할 수 있으며 파티션 생성을 할 수 있다., 구름 3.0의 보안 모듈을 적용해 기존의 신뢰 부팅 및 운영체제·실행파일·브라우저 보호뿐 아니라 디스크 암호화를 적용시켰다., 공공기관의 원격 근무를 위한 핵심 요소인 보안 단말 OS로서 공공기관 업무 환경에 최적화된 보안을 제공하며, 별도 보안 솔루션 없이도 기업의 핵심 데이터 보호가 가능하다는 점에서 일반 기업에서의 활용도 역시 높다고 회사는 설명했다., 티맥스오에스의 UI/UX·가상머신·VDP(Virtual Desktop Protocol) 기술도 적용됐다. 친숙한 UI/UX를 제공하고, 설치 프로그램에서 디스크 선택 및 다양한 설치 옵션을 제공하며 사용 편의성을 높였다는 게 회사의 설명이다., 또한 티맥스의 Virtual OS 앱을 통해 티맥스구름 환경에서도 윈도우·리눅스 등 용도에 맞는 이기종 OS를 이용할 수 있다. 특히 VDI 환경의 접속 단말 OS나 게스트 OS로 티맥스구름을 적용했을 때 티맥스의 자체 원격접속 프로토콜(VDP)을 적용해 낮은 트래픽 환경에서 고해상도 화질 구현이 가능하다., 추후에는 앱 가상화 기능을 고도화해 윈도우 OS와의 더욱 강력한 호환을 지원하고, 소프트웨어 센터를 통해 리눅스 기반의 다양한 오픈소스 SW를 제공할 계획이다., 허희도 티맥스오에스 대표는 ""국가보안기술연구소의 보안 기술과 티맥스오에스의 자체 OS 기술을 결합시켜 이번 업데이트를 시행했다""며 ""새롭게 업데이트된 티맥스구름을 통해 공공, 금융기관의 IT인프라 고도화를 더욱 빠르게 실현할 뿐 아니라 민간 기업에서의 확산을 위해 최선을 다 하겠다""고 말했다.,"
46,"LG전자가 웹(web)OS 기반의 스마트 TV에 시청자 취향을 고려한 콘텐츠를 확대하고 있다. , LG전자는 스마트 TV를 통해 전 세계에 제공 중인 앱 수가 지난해 2000개를 넘어섰다고 21일 밝혔다. , 지난 2019년 말과 비교하면 30% 이상 늘어났다. 특히 LG전자는 이 기간 교육 및 엔터테인먼트 앱 개수를 50% 가까이 늘렸다. 팬데믹 이후 TV를 OTT 시청이나 비대면 교육에 활용하는 고객 수요를 반영한 결과다., 지난해 론칭한 교육 콘텐츠 구독 서비스 하이브로(Highbrow)가 대표적이다. 최근에는 댄스 강습 플랫폼 원밀리언홈댄스(1M HomeDance), 영상 스트리밍 플랫폼 라이브나우(LIVENow) 등 MZ세대 취향저격 서비스를 확대 중이다., 또 TV 업계 최초로 제공을 시작한 엔비디아 지포스나우(GeForce NOW)를 포함해 구글 스타디아(Stadia) 등 게이머들을 위한 다양한 클라우드 게임 서비스를 제공하고 있다. , 카카오의 블록체인 관련 계열사인 그라운드엑스와 협업해 카카오의 디지털지갑 클립(Klip)에 보관중인 NFT 작품을 TV에서 감상할 수 있는 드롭스갤러리(Drops Gallery) 서비스도 이달 론칭한다., LG전자가 스마트 TV에 고객의 다양한 라이프스타일을 반영하는 데에는 TV의 역할이 빠르게 변화하고 있는 것에 기인한다. LG전자가 자체 분석한 고객 시청 데이터에 따르면 고객이 TV로 방송 시청이 아닌 스마트 콘텐츠를 사용하는 빈도는 팬데믹 이전과 비교해 두 자릿수 이상 증가했다., 시장조사업체 옴디아에 따르면 전 세계에 출하되는 TV 가운데 스마트 TV가 차지하는 비중은 지난 2019년 79.4%에서 지난해 88.6%까지 늘어났다. 지난해 판매된 LG TV 가운데 스마트 TV 비중은 95%에 육박한다., LG전자 정성현 HE컨텐츠서비스담당은 “TV로 자신의 취향에 맞는 콘텐츠를 소비하는 고객들이 늘어나는 추세”라며 “고객 취향을 고려한 콘텐츠를 지속 탑재하며 차별화된 시청경험을 제공해 나갈 것”이라고 말했다.,"
47,"사진=KT KT가 교사와 학생 및 학부모 간 커뮤니케이션 서비스인 ‘랑톡’을 통해 발신된 전화를 수신자의 휴대폰에서 학교의 정보까지 연동해 알려주는 기능(학교 발신정보 알림)을 새 학기가 시작되는 다음달 2일부터 제공한다고 21일 밝혔다., 학교 발신번호 알림 기능은 교사와 학부모 및 학생 간 원활한 소통을 위해 개발됐다. 학부모나 학생의 휴대폰에 ‘후후’ 애플리케이션(앱)을 설치하면 학교에서 걸려온 전화에 학교명과 반 정보 등을 동시에 표기해 스팸 전화와 구분해 받을 수 있다., 따라서 일반 유선전화 번호를 사용하는 학교뿐 아니라 070 국번의 인터넷전화 번호를 부여해 랑톡을 사용하는 학교에서도 교사와 학생 및 학부모 간 더욱 원활한 소통이 가능하다., KT는 랑톡의 활용성 확대를 위해 앱과 웹을 동시에 지원하는 알림장 및 1대 1 상담 서비스를 상반기 중 제공할 계획이다, 또 KT는 각 학교에서 랑톡을 손쉽게 도입할 수 있도록 온라인 가입 시스템도운영한다. 3월 중 랑톡을 도입하는 학교에는 3개월 기본료를 면제 해준다., 민혜병 KT Enterprise서비스DX본부장은 “교육 현장에서 편리하고 효과적으로 사용할 수 있는 DX 서비스를 지속적으로 선보이겠다”고 말했다.,"
